keys,en,gb,hr
item.rock.name,Rock,ASDJF,Kamen
item.rock.desc,Sometimes you really take these for granite.,SLDFJSL:DJKLSJKDLF!!!,"Hladno, okruglo i tvrdo. "
item.stick.name,Stick,SADFKDS,Štap
item.stick.desc,"[i]noun[/i]. 
1. A thin piece of wood that has fallen or been cut off a tree.
2. A long, thin piece of something.",JSHFJKSHASDJASLKDJKASJDAKSLDLK.,Alfa muški nagon da uzmem štap i hodam kroz šumu.
item.fiber.name,Fiber,ASDLKAS,Vlakno
item.fiber.desc,item.fiber.desc,khd!!HJG^,Nije probavljivo. :(
item.spear.name,Spear,sadjHD!,Koplje
item.spear.desc,Poke poke but better.,JHSLKsdfSDJFLJasKDFLJK,Preporučeno za ubadanje stvari. 
item.bow.name,Bow,IADSJF*&@HJKB,Luk
item.bow.desc,"Pew, pew pew!",SADFH$RUV,Nije povrće nego oružje!
item.rabbit.name,Rabbit,CBNJEYR#$^#&HJSDSF,Zec
item.rabbit.desc,Shame on you for killing such an innocent creature!,EDSJFKHIO!@PIYUWQASD,Što ti je zeko napravio. :(
item.flint.name,Flint,SADFdf,Kremen
item.flint.desc,"Sharp, small, pointy.",ADFASDJASSDAS,Boc boc!
item.club.name,Club,JHDKJFHS,Palica
item.club.desc,Clunk clonk!,ADFJHJKHJHJJHJH,Bam bam! 
item.dagger.name,Dagger,AS!!!!!!!!!!!!!!!!!!!!!!!,Bodež
item.dagger.desc,Stab stabbed stabbers with this stabber.,SDJASHDKJJJHHJJHJJJJJJJ,Obično se koristi za ubadanje stvari. 
,,,
ui.inventory.craft,Craft,SDA!,Izradi
ui.inventory.toggle_craft,Toggle Crafting,HHHHHHHHHHH,Izrada
ui.inventory.no_recipes,There is nothing to craft...,ASDJY!!!,Ne možeš ništa izraditi... 
,,,
tooltip.element,Material,DCASHJI*,Materjal
tooltip.throwing_damage,Throwing Damage,JHKGDF^*,Snaga bacanja 
tooltip.damage,Damage,*SJQW&AS,Snaga
tooltip.pierces,Pierces,KJSA)@!,Probod
tooltip.stuns,Stuns,FD(!*ASHH,Omamljivanje
tooltip.durability,Durability,DA[[\WSJ@),Korištenja
tooltip.ammo,Ammo,DSFKJDSHFJK!,Municija
,,,
rarity.common,Common,DFdsfsHSHFK@,Obično
rarity.normal,Uncommon,JDFHjksdhfu!90,Neobično
rarity.rare,Rare,JKH!,Rijetko
rarity.superrare,Super Rare,h,Veoma rijetko
